kind,rank,n,steps,max_value,peak_ratio,trace_prefix
top_steps,1,6171,261,975400,158.0619024469292,6171 18514 9257 27772 13886 6943 20830 10415 31246 15623 46870 23435 70306 35153 105460 52730 26365 79096 39548 19774
top_steps,2,871,178,190996,219.28358208955223,871 2614 1307 3922 1961 5884 2942 1471 4414 2207 6622 3311 9934 4967 14902 7451 22354 11177 33532 16766
top_steps,3,97,118,9232,95.17525773195877,97 292 146 73 220 110 55 166 83 250 125 376 188 94 47 142 71 214 107 322
top_steps,4,27,111,9232,341.9259259259259,27 82 41 124 62 31 94 47 142 71 214 107 322 161 484 242 121 364 182 91
top_steps,5,9,19,52,5.777777777777778,9 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
top_steps,6,7,16,52,7.428571428571429,7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
top_steps,7,6,8,16,2.6666666666666665,6 3 10 5 16 8 4 2 1
top_steps,8,3,7,16,5.333333333333333,3 10 5 16 8 4 2 1
top_steps,9,2,1,2,1.0,2 1
top_steps,10,1,0,1,1.0,1
top_peak,1,27,111,9232,341.9259259259259,27 82 41 124 62 31 94 47 142 71 214 107 322 161 484 242 121 364 182 91
top_peak,2,871,178,190996,219.28358208955223,871 2614 1307 3922 1961 5884 2942 1471 4414 2207 6622 3311 9934 4967 14902 7451 22354 11177 33532 16766
top_peak,3,6171,261,975400,158.0619024469292,6171 18514 9257 27772 13886 6943 20830 10415 31246 15623 46870 23435 70306 35153 105460 52730 26365 79096 39548 19774
top_peak,4,97,118,9232,95.17525773195877,97 292 146 73 220 110 55 166 83 250 125 376 188 94 47 142 71 214 107 322
top_peak,5,7,16,52,7.428571428571429,7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
top_peak,6,9,19,52,5.777777777777778,9 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
top_peak,7,3,7,16,5.333333333333333,3 10 5 16 8 4 2 1
top_peak,8,6,8,16,2.6666666666666665,6 3 10 5 16 8 4 2 1
top_peak,9,1,0,1,1.0,1
top_peak,10,2,1,2,1.0,2 1
